ccode,year,gender,age_group,edu_ilo,neet_fc
ZWE,2019,Female,25-54,Upper Secondary,0.5297036756760505
ZWE,2020,Female,25-54,Upper Secondary,0.5446028197039341
ZWE,2021,Female,25-54,Upper Secondary,0.5471706228655747
ZWE,2022,Female,25-54,Upper Secondary,0.5929982496008352
ZWE,2023,Female,25-54,Upper Secondary,0.6368980599744917
ZWE,2024,Female,25-54,Upper Secondary,0.7449617249102066
ZWE,2025,Female,25-54,Upper Secondary,0.7449617249102066
AGO,2015,Male,25-54,Lower Secondary,0.2910286172646824
AGO,2016,Male,25-54,Lower Secondary,0.1931167156615305
AGO,2017,Male,25-54,Lower Secondary,0.2539391380329288
AGO,2018,Male,25-54,Lower Secondary,0.2418771575073263
AGO,2019,Male,25-54,Lower Secondary,0.3406961919356974
AGO,2020,Male,25-54,Lower Secondary,0.2945142277579611
AGO,2021,Male,25-54,Lower Secondary,0.5742971545256139
AGO,2022,Male,25-54,Lower Secondary,0.166850591105116
AGO,2023,Male,25-54,Lower Secondary,0.2578364445772934
AGO,2024,Male,25-54,Lower Secondary,0.2287871810969053
AGO,2025,Male,25-54,Lower Secondary,0.2287871810969053
AGO,2015,Male,25-54,No Education,0.1831738929542204
AGO,2016,Male,25-54,No Education,0.1403244980795206
AGO,2017,Male,25-54,No Education,0.2474545741159546
AGO,2018,Male,25-54,No Education,0.2230986970448732
AGO,2019,Male,25-54,No Education,0.1509270658314678
AGO,2020,Male,25-54,No Education,0.2274919863304798
AGO,2021,Male,25-54,No Education,0.2395239467913954
AGO,2022,Male,25-54,No Education,0.2436883181004696
AGO,2023,Male,25-54,No Education,0.4296236845384746
AGO,2024,Male,25-54,No Education,0.3319881894879111
AGO,2025,Male,25-54,No Education,0.3319881894879111
AGO,2015,Male,25-54,Primary,0.2540908056585185
AGO,2016,Male,25-54,Primary,0.1683271782534606
AGO,2017,Male,25-54,Primary,0.220941531802694
AGO,2018,Male,25-54,Primary,0.1692983004873275
AGO,2019,Male,25-54,Primary,0.2665162011797783
AGO,2020,Male,25-54,Primary,0.2014260335425854
AGO,2021,Male,25-54,Primary,0.3553637335516753
AGO,2022,Male,25-54,Primary,0.13131319090713
AGO,2023,Male,25-54,Primary,0.2227268243407393
AGO,2024,Male,25-54,Primary,0.1824994021931897
AGO,2025,Male,25-54,Primary,0.1824994021931897
AGO,2015,Male,25-54,Tertiary,0.2043415840888676
AGO,2016,Male,25-54,Tertiary,0.1710705008810419
AGO,2017,Male,25-54,Tertiary,0.1805014184821509
AGO,2018,Male,25-54,Tertiary,0.1732846187713314
AGO,2019,Male,25-54,Tertiary,0.3327735242678383
AGO,2020,Male,25-54,Tertiary,0.1669013956543838
AGO,2021,Male,25-54,Tertiary,0.4677195252584508
AGO,2022,Male,25-54,Tertiary,0.1339969093956512
AGO,2023,Male,25-54,Tertiary,0.2361427572275754
AGO,2024,Male,25-54,Tertiary,0.2455834401380459
AGO,2025,Male,25-54,Tertiary,0.2455834401380459
AGO,2015,Male,25-54,Upper Secondary,0.205663269513134
AGO,2016,Male,25-54,Upper Secondary,0.1571510116577495
